Street	City	Latitude	Longitude
Riquelme	Villa alemana	-33.03949	-71.355761
Sargento Aldea	Villa alemana	-33.040926	-71.355947
Berlin	Villa alemana	-33.041996	-71.369912
LAS AMERICAS	Villa alemana	-33.043664	-71.394851
FABRES	Villa alemana	-33.039306	-71.394738
CARLOS GRUNER	Quilpue	-33.03906	-71.398799
LOS CEREZOS	Quilpue	-33.033508	-71.398591
LAS HIGUERAS	Quilpue	-33.033482	-71.39931
LEUCOTON(marmol)	Quilpue	-33.036138	-71.41284
TERESA DE CALCUTA	Villa alemana	-33.032296	-71.401288
LINCOYAN	Villa alemana	-33.032906	-71.402736
OROMPELLO	Quilpue	-33.035036	-71.402777
OSMAN PEREZ FREIRE	Villa alemana	-33.035055	-71.404376
leucoton	Quilpue	-33.034086	-71.404394
Av gomez carrreﾖo	Quilpue	-33.034419	-71.405662
OROMPELLO	Quilpue	-33.035117	-71.405632
Wilson	Quilpue	-33.035135	-71.406838
FRUTILLAR	Quilpue	-33.031884	-71.406884
AV. EL BELLOTO	Quilpue	-33.031866	-71.407799
MATEO DE TORO Y ZAMBRANO	Quilpue	-33.03618	-71.407733
AV. EL TRABAJADOR	Quilpue	-33.036337	-71.412851
AV. INDUSTRIAL	Quilpue	-33.041072	-71.41243
BADEN POWELL	Quilpue	-33.039734	-71.419574
AV. FREIRE	Quilpue	-33.044141	-71.419303
AV. DIEGO PORTALES	Quilpue	-33.046196	-71.440983
AV. LOS CARRERA	Quilpue	-33.048164	-71.443184
AV. TRONCAL	Quilpue	-33.038145	-71.479209
AV. 1 NORTE	Vina del Mar	-33.038192	-71.520436
PUENTE CASINO	Vina del Mar	-33.020468	-71.5604
AV. MARINA	Vina del Mar	-33.021137	-71.561086
CALETA ABARCA	Vina del Mar	-33.023476	-71.568463
AV. ESPAﾄA	Valparaiso	-33.024875	-71.571706
AV. ERRAZURIZ	Valparaiso	-32.042486	-71.605297
ADUANA	Valparaiso	-32.034326	-71.630196
