Street,City,Latitude,Longitude,
camino la polvora,valparaiso,-33.0651466,-71.6373036,
camino laguna verde,valparaiso,-33.0619283,-71.6370098,
baden powell,valparaiso,-33.0611006,-71.6404192,
x,valparaiso,-33.0585649,-71.6438632,
x,valparaiso,-33.0557509,-71.6445945,
x,valparaiso,-33.0526036,-71.6456031,
federico santamaria,valparaiso,-33.0492159,-71.6516231,
x,valparaiso,-33.0429746,-71.6483937,
levarte,valparaiso,-33.0431455,-71.6468273,
x,valparaiso,-33.0371826,-71.6443275,
x,valparaiso,-33.0357864,-71.6423051,
quebrada,valparaiso,-33.0342772,-71.641961,
vista hermosa,valparaiso,-33.0313089,-71.6381522,
levarte,valparaiso,-33.0321005,-71.6373261,
playa ancha,valparaiso,-33.0307063,-71.635588,
x,valparaiso,-33.0269734,-71.6394182,
x,valparaiso,-33.0253632,-71.6395148,
parque,valparaiso,-33.0231345,-71.6362767,
x,valparaiso,-33.0229727,-71.6347271,
x,valparaiso,-33.0216053,-71.6335898,
altamirano,valparaiso,-33.0218304,-71.6335932,
x,valparaiso,-33.0250673,-71.6316392,
x,valparaiso,-33.0272756,-71.630738,
x,valparaiso,-33.0279602,-71.6293247,
x,valparaiso,-33.0308116,-71.6286488,
antonio varas,valparaiso,-33.0313693,-71.629904,
Plaza aduana,valparaiso,-33.033429,-71.6300864,
Errazuriz,valparaiso,-33.0380071,-71.6280587,
x,valparaiso,-33.0429897,-71.6218574,
x,valparaiso,-33.0437182,-71.6150339,
brasil,valparaiso,-33.0447405,-71.6105238,
argentina,valparaiso,-33.0439666,-71.6051786,
espana,valparaiso,-33.0399022,-71.6040851,
x,valparaiso,-33.0381934,-71.6012205,
x,valparaiso,-33.0343633,-71.5960258,
x,valparaiso,-33.0320517,-71.5893202,
x,valparaiso,-33.0266638,-71.5848141,
x,valparaiso,-33.0264569,-71.5826684,
x,valparaiso,-33.028076,-71.5771859,
x,valparaiso,-33.0253324,-71.5722292,
x,vina del mar,-33.0239103,-71.5675123,
alvarez,vina del mar,-33.0263759,-71.5523111,
plaza sucre,vina del mar,-33.0250356,-71.5520214,
plaza vergara,vina del mar,-33.0248782,-71.5514099,
arlegui,vina del mar,-33.0239606,-71.5515386,
plaza latorre,vina del mar,-33.023775,-71.5526652,
puente libertad,vina del mar,-33.0233252,-71.552515,
libertad,vina del mar,-33.0234133,-71.5518713,
x,vina del mar,-33.0152989,-71.5502083,
x,vina del mar,-33.0080025,-71.5485346,
x,vina del mar,-33.006716,-71.5489798,
Dieciocho norte,vina del mar,-33.005199,-71.5488528,
jorge montt,vina del mar,-33.0051181,-71.5502261,
x,vina del mar,-32.9941585,-71.54734,
x,vina del mar,-32.990262,-71.5469109,
x,vina del mar,-32.9871753,-71.5464066,
x,vina del mar,-32.9829726,-71.5481983,
x,vina del mar,-32.9813436,-71.547737,
borgono,vina del mar,-32.9787876,-71.5457414,
x,vina del mar,-32.9777383,-71.5455401,
x,vina del mar,-32.9741922,-71.5454862,
x,vina del mar,-32.9732066,-71.5442362,
x,vina del mar,-32.9717125,-71.5437266,
angamos,vina del mar,-32.9716675,-71.5426537,
condell,vina del mar,-32.9726846,-71.542525,
balmaceda,vina del mar,-32.972134,-71.5356373,
x,vina del mar,-32.9704688,-71.5323059,
x,vina del mar,-32.9714049,-71.5316461,
vicuna mackena,vina del mar,-32.971891,-71.5320806,
anibal pinto,renaca,-32.9725855,-71.5348018,---
x,renaca,-32.9746407,-71.5345751,
los sargazos,renaca,-32.9750283,-71.5351631,
x,renaca,-32.9745873,-71.5362145,
x,renaca,-32.9748393,-71.5400018,
jardin del mar,renaca,-32.9753523,-71.5412464,
x,renaca,-32.9762433,-71.5404417,
x,renaca,-32.9765404,-71.5387465,
x,renaca,-32.9802034,-71.5344979,
eklonia,renaca,-32.9801674,-71.5328028,
x,renaca,-32.9790626,-71.5313836,
x,renaca,-32.9804464,-71.5303351,
x,renaca,-32.9806714,-71.5296807,
antofagasta,renaca,-32.9833714,-71.5288331,
x,renaca,-32.9842623,-71.5289833,
alejandro navarrete,renaca,-32.9852252,-71.5264109,
x,renaca,-32.9859722,-71.5254668,
x,renaca,-32.987457,-71.5251771,
x,renaca,-32.987781,-71.5254775,
gomez carreno,renaca,-32.9889779,-71.525735,
x,renaca,-32.987781,-71.5254775,
x,renaca,-32.987457,-71.5251771,
x,renaca,-32.9859722,-71.5254668,
alejandro navarrete,renaca,-32.9852252,-71.5264109,
x,renaca,-32.9842623,-71.5289833,
antofagasta,renaca,-32.9833714,-71.5288331,
x,renaca,-32.9806714,-71.5296807,
x,renaca,-32.9804464,-71.5303351,
x,renaca,-32.9790626,-71.5313836,
eklonia,renaca,-32.9801674,-71.5328028,
x,renaca,-32.9802034,-71.5344979,
x,renaca,-32.9765404,-71.5387465,
x,renaca,-32.9762433,-71.5404417,
jardin del mar,renaca,-32.9753523,-71.5412464,
x,renaca,-32.9748393,-71.5400018,
x,renaca,-32.9745873,-71.5362145,
los sargazos,renaca,-32.9750283,-71.5351631,
x,renaca,-32.9746407,-71.5345751,
anibal pinto,renaca,-32.9725855,-71.5348018,
borgo–o,vina del mar,-32.9732548,-71.5442107,
x,vina del mar,-32.9701824,-71.5434512,
x,vina del mar,-32.9694398,-71.5451356,
x,vina del mar,-32.9726711,-71.545039,
x,vina del mar,-32.9741922,-71.5454862,
x,vina del mar,-32.9777383,-71.5455401,
borgono,vina del mar,-32.9787876,-71.5457414,
x,vina del mar,-32.9813436,-71.547737,
x,vina del mar,-32.9829726,-71.5481983,
x,vina del mar,-32.9871753,-71.5464066,
x,vina del mar,-32.990262,-71.5469109,
x,vina del mar,-32.9941585,-71.54734,
15 norte,vina del mar,-33.0073009,-71.5509223,
Libertad,vina del mar,-33.0081276,-71.5485676,
x,vina del mar,-33.0223416,-71.5516457,
x,vina del mar,-33.0234049,-71.5518561,
x,vina del mar,-33.0235012,-71.5514574,
x,vina del mar,-33.0239345,-71.5515179,
x,vina del mar,-33.0238388,-71.5524379,
von,vina del mar,-33.0225491,-71.5612823,
av valpraiso,vina del mar,-33.0235979,-71.5614375,
x,vina del mar,-33.0239344,-71.5626448,
x,vina del mar,-33.0245222,-71.562734,
x,vina del mar,-33.0235777,-71.567326,
x,vina del mar,-33.0239555,-71.5694288,
espa–a,vina del mar,-33.0253318,-71.5730659,
x,valparaiso,-33.028076,-71.5771859,
x,valparaiso,-33.0264569,-71.5826684,
x,valparaiso,-33.0266638,-71.5848141,
x,valparaiso,-33.0320517,-71.5893202,
x,valparaiso,-33.0343633,-71.5960258,
x,valparaiso,-33.0381934,-71.6012205,
espana,valparaiso,-33.0399022,-71.6040851,
argentina,valparaiso,-33.0439666,-71.6051786,
brasil,valparaiso,-33.0447405,-71.6105238,
x,valparaiso,-33.0437182,-71.6150339,
x,valparaiso,-33.0429897,-71.6218574,
Errazuriz,valparaiso,-33.0380071,-71.6280587,
Plaza aduana,valparaiso,-33.033429,-71.6300864,
antonio varas,valparaiso,-33.0313693,-71.629904,
x,valparaiso,-33.0308116,-71.6286488,
x,valparaiso,-33.0279602,-71.6293247,
x,valparaiso,-33.0272756,-71.630738,
x,valparaiso,-33.0250673,-71.6316392,
altamirano,valparaiso,-33.0218304,-71.6335932,
x,valparaiso,-33.0216053,-71.6335898,
x,valparaiso,-33.0229727,-71.6347271,
parque,valparaiso,-33.0231345,-71.6362767,
x,valparaiso,-33.0253632,-71.6395148,
x,valparaiso,-33.0269734,-71.6394182,
playa ancha,valparaiso,-33.0307063,-71.635588,
levarte,valparaiso,-33.0321005,-71.6373261,
vista hermosa,valparaiso,-33.0313089,-71.6381522,
quebrada,valparaiso,-33.0342772,-71.641961,
x,valparaiso,-33.0357864,-71.6423051,
x,valparaiso,-33.0371826,-71.6443275,
levarte,valparaiso,-33.0431455,-71.6468273,
x,valparaiso,-33.0429746,-71.6483937,
federico santamaria,valparaiso,-33.0492159,-71.6516231,
x,valparaiso,-33.0526036,-71.6456031,
x,valparaiso,-33.0557509,-71.6445945,
x,valparaiso,-33.0585649,-71.6438632,
baden powell,valparaiso,-33.0611006,-71.6404192,
camino laguna verde,valparaiso,-33.0619283,-71.6370098,
camino la polvora,valparaiso,-33.0651466,-71.6373036,
